"대구광역시","기타 프랜차이즈",1057,3303,268939,243432,31646,22263,189523,29841,1108,3239,269280,235501,153064,34726,23356,24354,33351
"인천광역시","합계",11295,46066,3968748,3593605,514239,256633,2822733,466808,11482,49113,4422617,3982678,2601885,592419,301876,486498,563718
"인천광역시","체인화 편의점",2189,9971,1238715,1177055,89527,39080,1048448,74567,2206,11122,1319166,1224684,958182,94636,49189,122677,91235
"인천광역시","문구용품 및 회화용품 소매업",79,234,32407,28782,2763,1708,24311,2572,77,226,28475,26164,19181,2662,1785,2536,2500
"인천광역시","의약품 및 의료용품 소매업",190,685,243297,221883,17573,6306,198004,15303,197,867,315588,295917,248969,22065,9105,15777,20424
"인천광역시","안경 및 렌즈 소매업",158,469,54488,46657,8864,7269,30524,8172,165,482,62758,54008,30909,9304,8611,5184,8985
"인천광역시","한식 음식점업",1722,7296,530736,467502,93763,49635,324104,89713,1753,7387,561786,492288,278155,111956,49874,52302,108685
"인천광역시","외국식 음식점업",385,2353,158987,139910,35298,12819,91793,32639,393,2199,167856,153081,72571,39240,16151,25118,38023
"인천광역시","제과점업",397,1924,175962,161354,18855,12729,129770,17784,380,2064,162160,144672,86952,24148,14117,19454,23900
"인천광역시","피자, 햄버거, 샌드위치 및 유사 음식점업",657,3334,199592,173184,33438,15691,124055,31517,682,3509,221749,205670,111234,35986,16429,42020,35168
"인천광역시","치킨전문점",1289,3415,240395,205901,20574,16340,168987,18613,1321,3545,318149,269411,179316,26060,19611,44424,25462
"인천광역시","김밥, 기타 간이음식점 및 포장 판매점",685,2438,133046,116259,20616,12651,82992,19896,686,2808,151013,132839,74924,24466,14632,18817,24222
"인천광역시","생맥주 및 기타 주점업",615,2074,140277,119981,21055,14915,84011,19538,545,1733,131240,112190,60043,20025,14574,17549,19551
"인천광역시","커피 및 기타 비알코올 음료점업",986,4277,182359,156457,35555,23557,97345,34334,1049,4890,216530,183969,81548,45247,28839,28335,44657
"인천광역시","자동차 전문 수리업",295,1334,155085,138895,40061,6137,92697,32798,292,1440,163457,150115,82279,42074,6323,19438,40380
"인천광역시","두발 미용업",263,1441,64868,57259,16864,6887,33508,14017,275,1360,64865,57242,14719,21906,7875,12743,18907
"인천광역시","가정용 세탁업",217,362,19300,16105,1774,2114,12217,1542,220,372,19132,13745,4650,2139,1984,4973,1745
"인천광역시","기타 프랜차이즈",1168,4459,399234,366421,57659,28795,279967,53803,1241,5108,518692,466685,298253,70505,42775,55151,59871
"광주광역시","합계",6183,23296,1889856,1765739,227505,104821,1433413,208670,6234,24373,2138285,1903247,1265776,271203,143440,222828,263744
"광주광역시","체인화 편의점",1048,4503,475498,463004,35564,12551,414889,30557,1039,4645,537915,505728,369784,39456,21507,74980,38261
"광주광역시","문구용품 및 회화용품 소매업",42,128,16660,15621,1287,1158,13176,1206,45,126,16454,14967,10655,1549,1651,1113,1493
"광주광역시","의약품 및 의료용품 소매업",120,351,107229,95500,7792,2792,84916,6769,128,412,115159,102785,84575,7529,3971,6710,7286
"광주광역시","안경 및 렌즈 소매업",126,331,32779,28803,4104,4147,20552,3698,132,357,36788,30724,17661,5408,4880,2774,5212
"광주광역시","한식 음식점업",711,3056,210932,193720,33740,16773,143207,32374,752,3102,237828,201229,119866,37057,21534,22772,36406
"광주광역시","외국식 음식점업",197,1059,64574,58827,12627,4484,41716,11913,205,1085,81445,72487,39138,15933,6203,11213,15342
"광주광역시","제과점업",190,870,78518,72419,7481,5014,59924,7144,182,814,74264,66702,47516,7601,5646,5939,7504
"광주광역시","피자, 햄버거, 샌드위치 및 유사 음식점업",376,1722,101832,93768,16077,7276,70415,14859,375,1786,109400,95913,53629,18105,9190,14988,17349
"광주광역시","치킨전문점",685,1846,123049,110884,10565,5531,94788,9763,696,2014,159369,135275,97821,14580,9853,13020,14564
"광주광역시","김밥, 기타 간이음식점 및 포장 판매점",440,1532,74461,67474,12166,5114,50194,11065,391,1430,80434,69071,40345,13662,6789,8275,13551
"광주광역시","생맥주 및 기타 주점업",569,1326,79258,70260,8925,6708,54627,8529,408,1007,65033,53118,29912,8620,7913,6672,8437
"광주광역시","커피 및 기타 비알코올 음료점업",554,2605,99695,90156,19293,13159,57704,18506,605,3097,135193,111683,50373,30994,17909,12407,30680
"광주광역시","자동차 전문 수리업",175,648,79170,71085,16688,1179,53218,14220,172,712,81173,72453,44874,17316,2332,7931,16656
"광주광역시","두발 미용업",122,555,24551,21863,7852,3029,10982,7093,158,676,30983,24978,7060,10166,3800,3952,9640
"광주광역시","가정용 세탁업",110,191,9687,8417,1027,886,6504,886,128,269,13979,10981,3938,1918,1755,3371,1713
"광주광역시","기타 프랜차이즈",718,2573,311963,303938,32317,15020,256601,30088,818,2839,362868,335153,248629,41308,18505,26712,39649
"대전광역시","합계",6552,25140,1941801,1786941,244321,117128,1425492,216598,6415,25190,2049096,1861002,1186503,261185,132594,280721,246972
"대전광역시","체인화 편의점",1100,4952,530978,512125,40690,16799,454636,33105,1100,5195,603502,581434,427828,43606,18384,91616,40503
"대전광역시","문구용품 및 회화용품 소매업",28,85,14355,13008,1175,554,11279,1033,30,92,14950,13385,10171,1051,1049,1113,929
"대전광역시","의약품 및 의료용품 소매업",93,355,124517,113775,8550,2736,102489,7322,99,343,89218,81916,63426,8786,2890,6814,7027
"대전광역시","안경 및 렌즈 소매업",118,311,36455,32432,5755,3740,22937,5331,107,290,37622,31907,18812,5128,3622,4345,4754
"대전광역시","한식 음식점업",988,4167,260931,235629,45069,21907,168653,42571,931,3661,228083,193130,103734,43194,22139,24063,42621
"대전광역시","외국식 음식점업",204,1141,78680,71101,16359,6052,48690,15156,199,1022,79194,72814,39628,15577,6297,11312,14672
"대전광역시","제과점업",229,1087,85260,79415,8710,5724,64981,8208,238,1115,74361,67849,42409,11019,6698,7722,10546
"대전광역시","피자, 햄버거, 샌드위치 및 유사 음식점업",440,2350,119571,111159,20965,8794,81400,19029,449,2339,139548,120905,69130,22969,9918,18888,22417
"대전광역시","치킨전문점",854,2144,130713,111641,9900,7699,94042,8520,786,2164,148394,126030,86199,11379,8526,19925,11245
"대전광역시","김밥, 기타 간이음식점 및 포장 판매점",416,1377,76242,68057,10630,6307,51120,9637,413,1349,76924,66685,36287,12023,8921,9454,11732
"대전광역시","생맥주 및 기타 주점업",387,1144,66716,58017,8263,5810,43944,7331,330,954,59014,50578,28188,8387,5991,8013,8073
"대전광역시","커피 및 기타 비알코올 음료점업",523,2220,97627,88794,18615,12391,57788,17483,534,2335,108773,95007,44578,21199,14917,14314,20849
"대전광역시","자동차 전문 수리업",234,715,87597,78416,17228,1932,59256,13369,239,762,92979,85374,49975,17617,3658,14123,16395
